Paper_Name,Total_cite_count,Publish_year,Authors,Publication_date,Pages,Publisher,cite_in_2000,cite_in_2001,cite_in_2002,cite_in_2003,cite_in_2004,cite_in_2005,cite_in_2006,cite_in_2007,cite_in_2008,cite_in_2009,cite_in_2010,cite_in_2011,cite_in_2012,cite_in_2013,cite_in_2014,cite_in_2015,cite_in_2016,cite_in_2017,cite_in_2018,cite_in_2019
Digital image watermarking,10,2008,Vikas Saxena,2008,,Noida,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,1,0
"Contemporary Computing: Second International Conference, IC3 2009, Noida, India, August 17-19, 2009. Proceedings",2,2009,"Sanjay Ranka, Srinivas Aluru, Rajkumar Buyya, Yeh-Ching Chung, Sandeep Gupta, Ananth Grama, Rajeev Kumar, Vir V Phoha, Sumeet Dua",2009/8/19,,Springer Science & Business Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Contemporary Computing: Second International Conference, IC3 2010, Noida, India, August 9-11, 2010. Proceedings",1,2010,"Sanjay Ranka, Arunava Banerjee, Kanad Kishore Biswas, Sumeet Dua, Prabhat Mishra, Rajat Moona, Sheung-Hung Poon, Cho-Li Wang",2010/9/30,,Springer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017 Tenth International Conference on Contemporary Computing (IC3),,2017,"Sanjay Goel Srinivas Aluru, Ananth Kalyanararnan, Bora Uçar, Kishor Kothapalli, Mahantesh Halappanavar, Kamesh Madduri, Madhu Govindaraju, Yinglong Xia, Sushil K. Prasad, Martina Barnas, Ashish Sureka, Pankesh Patel, Vikas Saxena",2017/8,,ISBN 978-1-5386-3077-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016 Ninth International Conference on Contemporary Computing, IC3 2016",,2016,"Vikas Saxena Sanjay Goel, Dheeraj Sanghi, Albert Y. Zomaya, Azzedine Boukerche, Ratan K. Ghosh, Manoj Singh Gaur, Rahul Banerjee",2016/8,,ISBN 978-1-5090-3251-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Garg Ruchir Joshi,,2011,Vikas Saxena,2011,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tribhuwan Kumar Tewari,,2010,Vikas Saxena,2010,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AWOMAN, AGED 30 YEARS, PRESENTED WITH",,2008,"Somprakas Basu, Vaibhav Saxena, CLN Sharma, Mohan Kumar",2008,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUILDING VOICE ENABLED VISUAL BASIC APPLICATION,,1970,"Vikas Saxena, MANSI RUGHWANI, Nikita Manchanda",1970,,International Association of Online Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The IUP Journal of,,,"GC Nwalozie, KM Nwokedi, OS Oguejiofor, JO Onubogu, M Sumathi, Manoj Kumar, Sandeep K Arya, Sujata Pandey, Mohit Gupta, Deep Tarun Gupta, Vikas Saxena",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contemporary Computing,,,"Sanjay Ranka Srinivas Aluru, Rajkumar Buyya Yeh-Ching Chung, Sumeet Dua Ananth Grama, Sandeep KS Gupta Rajeev Kumar, Vir V Phoha",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIKAS SAXENA,,,JP Gupta,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNOPSIS OF THE THESIS SUBMITTED IN FULFILMENT OF THE REQUIREMENTS FOR THE AWARD OF DEGREE OF DOCTOR OF PHILOSOPHY IN COMPUTER SCIENCE AND ENGINEERING,,,VIKAS SAXENA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
